119	65	7735	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"TiO2 WT%"	"Al2O3 WT%"	"FeO WT%"	"MnO WT%"	"MgO WT%"	"CaO WT%"	"Na2O WT%"	"K2O WT%"	"P2O5 WT%"	"O WT%"	"Total"	
0	-0.2564	28.8356	1	1	1	59.28492	3.100735E-02	23.91761	0.4320301	-2.897538E-02	2.984145E-02	6.042616	6.378643	1.4641	4.909209E-02	0	97.60088	
0	-0.2514	28.8356	2	1	2	58.8381	0.1171133	23.18415	0.2421918	7.218235E-02	5.384697E-02	6.235628	7.025136	1.332307	4.903068E-02	0	97.1497	
0	-0.2464	28.8356	3	1	3	58.39438	0.1597928	23.89305	0.5149606	-7.954431E-02	5.358355E-02	6.121483	6.88549	1.299707	8.111104E-05	0	97.24297	
0	-0.2414	28.8356	4	1	4	59.32262	5.210222E-02	24.03627	0.4554977	-3.953352E-03	0.0759686	6.750905	6.862583	1.141842	-4.891027E-02	0	98.64494	
0	-0.2364	28.8356	5	1	5	58.52118	-3.376117E-02	25.2643	0.3249876	2.134554E-02	3.767986E-02	7.267883	6.701885	0.961861	-2.259869E-05	0	99.06734	
0	-0.2314	28.8356	6	1	6	57.55871	-1.337683E-02	25.4349	0.5023217	-2.987491E-02	0.1199194	7.852644	6.420236	0.9629927	4.851044E-02	0	98.85699	
0	-0.2264	28.8356	7	1	7	56.70507	-0.1641548	25.56781	0.2767951	-4.805258E-03	5.142542E-02	8.723921	6.171398	0.8575248	4.831465E-02	0	98.23329	
0	-0.2214	28.8356	8	1	8	56.35099	0.1147308	25.63156	0.5729742	4.540437E-02	3.601839E-02	8.098125	5.833718	0.8095631	-2.481328E-02	0	97.46827	
0	-0.2164	28.8356	9	1	9	54.95926	0.1970979	25.33668	1.567473	-6.942921E-03	5.020954E-03	8.292133	5.241774	0.742721	-4.960944E-02	0	96.28561	
0	-0.2114	28.8356	10	1	10	53.65989	0.1305163	25.0137	2.040398	-2.079611E-02	8.029607E-02	8.885209	5.124059	0.7564591	-4.990282E-02	0	95.61983	
0	-0.2064	28.8356	11	1	11	55.59833	0.1994433	26.32872	0.7620007	-5.918369E-03	0.1101104	9.029099	5.437289	0.6202503	-0.0250612	0	98.05426	
0	-0.2014	28.8356	12	1	12	55.75636	5.136401E-03	26.24284	1.01057	5.673544E-02	0.0804255	9.224064	5.565762	0.6422696	-8.660784E-04	0	98.5833	
0	-0.1964	28.8356	13	1	13	56.88165	0.2005604	26.75305	0.4422709	7.273885E-03	9.589895E-02	9.202183	5.962298	0.6238836	4.806433E-02	0	100.2171	
0	-0.1914	28.8356	14	1	14	56.89693	-3.543233E-02	26.47195	0.4307511	7.628708E-03	4.340947E-02	8.676503	5.96125	0.802462	-2.480809E-02	0	99.23065	
