150	102	15300	17	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"Calc. O"	"Total"
0	-8.4626	-3.9551	31	1	31	95.03425	-2.622878E-02	-1.038035E-02	7.826409E-02	-1.489598E-02	-6.841561E-02	-3.408385E-02	-0.1372196	-0.1272099	0	44.19287
0	-8.4616	-3.9551	32	1	32	94.80137	-1.451655E-03	-8.870775E-03	1.123184E-02	-1.286314E-02	-5.381424E-02	-4.269009E-02	-7.769796E-02	-0.2204397	0	44.00912
0	-8.4606	-3.9551	33	1	33	94.70861	-3.883391E-02	-1.128559E-02	1.142312E-02	5.866286E-04	-1.098636E-02	-6.906064E-05	-5.216303E-02	-3.681974E-02	0	44.16944
0	-8.4596	-3.9551	34	1	34	94.79959	-3.095945E-02	-2.312222E-02	9.925801E-03	-2.298968E-02	-5.415474E-02	-6.053079E-02	-0.1385837	-5.825878E-02	0	44.04813
0	-8.4586	-3.9551	35	1	35	94.25475	-2.282681E-02	-1.267877E-02	0.022169	-7.367809E-03	0.0179681	-2.622521E-02	-2.269421E-02	-6.028635E-02	0	43.97599
0	-8.4576	-3.9551	36	1	36	94.68736	-0.029101	-3.779001E-02	1.038571E-02	-9.488506E-03	-2.574813E-02	-9.094898E-03	0.152913	-0.1552379	0	44.19902
0	-8.4566	-3.9551	37	1	37	95.58589	-2.592478E-02	-4.838645E-02	-7.104401E-02	-1.326741E-02	-1.085237E-02	-8.664171E-03	-8.154926E-02	-1.333313E-02	0	44.45607
0	-8.4556	-3.9551	38	1	38	95.38869	-4.198809E-02	-0.0100164	-1.929473E-02	-1.533152E-02	-5.461322E-02	-5.240408E-02	6.33088E-03	-6.078076E-02	0	44.42912
0	-8.4546	-3.9551	39	1	39	95.4496	-2.273722E-02	-1.925559E-02	3.649977E-02	-3.253954E-03	-0.0397998	-2.592212E-02	-0.1397228	1.088132E-02	0	44.48418
0	-8.4536	-3.9551	40	1	40	95.5779	-3.921344E-03	-2.688615E-03	-8.815007E-03	-1.316484E-02	-5.431936E-02	-3.460307E-02	-8.056338E-02	-5.925803E-02	0	44.49286
0	-8.4526	-3.9551	41	1	41	95.23967	-3.609515E-02	-4.723838E-02	2.069614E-02	-4.850949E-03	-2.463336E-02	-1.641745E-02	-0.1952162	-0.126264	0	44.18661
0	-8.4516	-3.9551	42	1	42	94.926	-2.654974E-02	-0.0078406	6.781476E-03	-0.0110457	4.032147E-03	-5.175156E-02	-0.1086908	-0.104801	0	44.14427
0	-8.4506	-3.9551	43	1	43	95.02241	-4.245058E-02	-3.537422E-02	0.1392093	-1.113411E-03	-5.407891E-02	-1.689626E-02	-0.1381727	-5.791445E-02	0	44.30591
0	-8.4496	-3.9551	44	1	44	95.17123	-2.441586E-02	-8.55258E-03	-3.056793E-02	-1.275548E-02	-2.456892E-02	-3.376792E-02	-0.2243982	-0.1259206	0	44.09864
0	-8.4486	-3.9551	45	1	45	95.66199	-2.589838E-02	-3.468902E-02	8.352172E-04	-1.471273E-02	-2.449724E-02	1.172579E-03	-0.2242684	-0.1258011	0	44.35214
0	-8.4476	-3.9551	46	1	46	95.13409	-4.701709E-02	-1.760323E-02	-1.979333E-02	-9.115664E-03	-5.418862E-02	-8.311733E-03	-7.967544E-02	-0.1053268	0	44.21385
0	-8.4466	-3.9551	47	1	47	94.9313	-2.150344E-02	-8.562041E-03	1.204552E-02	-1.078377E-02	3.354632E-02	-4.250826E-02	-0.1653869	-0.1728829	0	44.06491
0	-8.4456	-3.9551	48	1	48	95.62531	-2.960942E-02	-1.196218E-02	-1.092168E-02	-1.898828E-02	-0.0104252	5.520704E-04	-4.973326E-02	-0.1518287	0	44.46546
0	-8.4446	-3.9551	49	1	49	94.84843	-3.081041E-02	-9.116656E-03	3.323954E-02	-1.102053E-02	1.862927E-02	-1.686083E-02	-1.977598E-02	-0.1983252	0	44.14732
0	-8.4436	-3.9551	50	1	50	95.09529	-2.844919E-02	-1.918579E-02	-7.41729E-03	-7.225684E-03	-3.979626E-02	-1.721615E-02	-5.096696E-02	-8.272527E-02	0	44.26654
