98	179	17542	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"Al2O3 WT%"	"FeO WT%"	"BaO WT%"	"K2O WT%"	"SrO WT%"	"CaO WT%"	"TiO2 WT%"	"Na2O WT%"	"MgO WT%"	"O WT%"	"Total"
0	-4.8	-36.589	31	1	31	46.10123	31.62615	0.6105155	7.489823E-02	0.1399051	0.308317	17.7373	4.428699E-02	1.684664	7.386513E-02	0	98.40112
0	-4.7995	-36.589	32	1	32	46.01184	31.55009	0.5609794	-7.627714E-02	0.1321182	0.2872338	17.77451	7.483205E-02	1.635619	5.907978E-02	0	98.01002
0	-4.799	-36.589	33	1	33	46.10261	31.50093	0.6299998	-5.963997E-03	0.1368325	0.3560112	17.78474	6.590006E-02	1.623978	5.648178E-02	0	98.25152
0	-4.7985	-36.589	34	1	34	46.07054	31.69021	0.6335434	-0.0358518	0.123459	0.2501106	17.81194	1.022023E-02	1.694702	7.772169E-02	0	98.32658
0	-4.798	-36.589	35	1	35	46.3347	31.77114	0.6501324	-8.633617E-02	0.131478	0.2230562	18.00134	4.905854E-02	1.601341	6.185044E-02	0	98.73776
0	-4.7975	-36.589	36	1	36	46.13787	31.57731	0.6436976	-4.622741E-02	0.137589	0.3135195	17.91458	4.023468E-02	1.581532	6.163906E-02	0	98.36175
0	-4.797	-36.589	37	1	37	46.11531	31.68991	0.6734819	-5.619105E-03	0.1398495	0.2179553	17.85741	3.595306E-02	1.573015	5.065698E-02	0	98.34793
0	-4.7965	-36.589	38	1	38	45.66442	31.86408	0.6613631	5.496521E-02	0.1367933	0.1921559	17.875	1.432911E-02	1.609334	6.020734E-02	0	98.13264
0	-4.796	-36.589	39	1	39	45.74039	31.68027	0.56793	3.468909E-02	0.1361406	0.2556925	17.93394	4.445176E-02	1.54216	6.513007E-02	0	98.00081
0	-4.7955	-36.589	40	1	40	45.74114	31.85881	0.6096277	1.458556E-02	0.1232912	0.2453967	17.79694	0.053131	1.574101	7.570698E-02	0	98.09274
0	-4.795	-36.589	41	1	41	45.94407	31.91965	0.625586	1.425855E-02	0.1230654	0.3354596	18.00319	3.146997E-02	1.53409	6.952535E-02	0	98.60036
0	-4.7945	-36.589	42	1	42	45.83366	31.82345	0.6141741	-0.0259189	0.1152245	0.2396769	18.21081	0.0187464	1.506412	6.040999E-02	0	98.39664
0	-4.794	-36.589	43	1	43	45.72833	31.6152	0.6705343	-5.635488E-02	0.1120561	0.260958	18.10629	8.330123E-02	1.479387	6.490928E-02	0	98.06462
0	-4.7935	-36.589	44	1	44	45.37627	31.9823	0.6776217	4.471967E-02	0.1194306	0.1978771	18.16736	9.975516E-03	1.493937	6.395259E-02	0	98.13345
0	-4.793	-36.589	45	1	45	45.84452	31.889	0.6942963	-5.637346E-02	0.1078669	0.2503026	18.35511	-7.08972E-03	1.410872	6.721111E-02	0	98.55573
0	-4.7925	-36.589	46	1	46	46.00581	31.92073	0.6971782	-5.761938E-03	0.1215635	0.2341973	18.12202	1.437951E-02	1.440553	5.496523E-02	0	98.60564
0	-4.792	-36.589	47	1	47	46.18618	31.97037	0.6376864	4.476268E-02	0.1134858	0.2178934	18.24014	6.594409E-02	1.470699	0.0567349	0	99.00389
0	-4.7915	-36.589	48	1	48	45.85896	31.85513	0.6422039	-5.820248E-03	0.1307691	0.2930207	18.06993	-2.86207E-03	1.510527	0.0729027	0	98.42476
0	-4.791	-36.589	49	1	49	45.77166	31.58547	0.6793255	2.455853E-02	0.1176234	0.2076252	18.16681	-2.010266E-02	1.475777	0.0615955	0	98.07034
0	-4.7905	-36.589	50	1	50	45.68497	32.00254	0.6663379	-4.606323E-02	0.1137495	0.2189035	18.14743	2.742262E-02	1.433357	7.028328E-02	0	98.31894
0	-4.79	-36.589	51	1	51	45.87018	31.99586	0.688562	-4.611262E-02	0.1016727	0.2345792	18.16582	1.878935E-02	1.415114	6.696282E-02	0	98.51141
0	-4.7895	-36.589	52	1	52	45.86803	31.63492	0.6850684	5.473906E-02	0.1104556	0.2020405	18.27509	7.448309E-02	1.394211	5.667997E-02	0	98.35572
0	-4.789	-36.589	53	1	53	46.07067	31.79686	0.6467547	4.301793E-03	0.1233684	0.2445544	18.27915	3.156846E-02	1.400447	6.237005E-02	0	98.66005
0	-4.7885	-36.589	54	1	54	45.61192	31.7388	0.6778789	-3.628084E-02	0.1090179	0.2718418	18.30344	8.323196E-02	1.389608	7.164928E-02	0	98.2211
0	-4.788	-36.589	55	1	55	45.7184	32.16751	0.720561	2.425812E-02	9.717367E-02	0.3040853	18.21975	2.280236E-02	1.326207	7.143576E-02	0	98.6722
0	-4.7875	-36.589	56	1	56	45.2332	32.03272	0.6885266	-5.634602E-02	0.1103643	0.2195056	18.39541	1.876243E-02	1.363728	6.422263E-02	0	98.0701
0	-4.787	-36.589	57	1	57	45.73717	32.28525	0.721203	-4.621358E-02	9.831848E-02	0.2029213	18.52099	2.736588E-02	1.342064	7.019576E-02	0	98.95927
0	-4.7865	-36.589	58	1	58	45.79185	32.13612	0.7014841	4.103729E-03	0.1104422	0.2505005	18.55346	4.009243E-02	1.324633	5.747103E-02	0	98.97015
0	-4.786	-36.589	59	1	59	45.52338	32.09279	0.6687456	-6.111728E-03	0.1135725	0.2934978	18.49267	9.603511E-02	1.303239	6.307161E-02	0	98.64089
0	-4.7855	-36.589	60	1	60	45.59376	32.12333	0.6590474	-5.622958E-02	9.782381E-02	0.224429	18.31631	3.173824E-02	1.290672	6.534268E-02	0	98.34622
