168	116	19488	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"TiO2 WT%"	"Al2O3 WT%"	"FeO WT%"	"MnO WT%"	"MgO WT%"	"CaO WT%"	"Na2O WT%"	"K2O WT%"	"P2O5 WT%"	"O WT%"	"Total"	
0	26.013	28.2308	1	1	1	68.63406	0.2658684	17.10631	0.5502428	4.564426E-02	-4.140736E-02	2.893324	4.228451	5.105995	2.442929E-02	0	98.81293	
0	26.018	28.2308	2	1	2	72.54387	0.4982277	11.85277	1.65414	3.091085E-02	8.171477E-02	0.9468353	2.506868	6.539163	0.0486278	0	96.70311	
0	26.023	28.2308	3	1	3	67.01373	0.1544787	14.87041	1.462812	1.829468E-02	0.1892252	2.485905	3.951385	5.944956	4.822901E-02	0	96.13943	
0	26.028	28.2308	4	1	4	58.63385	5.127198E-02	22.63456	0.7164941	3.346273E-02	2.232305E-02	6.431685	6.164063	1.272861	-1.021764E-04	0	95.96046	
0	26.033	28.2308	5	1	5	58.08696	7.304454E-02	24.62317	0.7045879	-4.219908E-02	-2.983337E-02	6.875304	6.786164	1.085905	0.0243429	0	98.18745	
0	26.038	28.2308	6	1	6	58.31411	-9.767959E-02	24.75818	0.3373186	-1.621212E-02	8.79408E-04	6.894937	7.057061	1.041312	-2.437004E-02	0	98.26553	
0	26.043	28.2308	7	1	7	58.078	7.421024E-02	24.80396	0.4203224	-2.889519E-02	-2.961856E-02	6.389943	6.822343	1.208346	4.905948E-02	0	97.78767	
0	26.048	28.2308	8	1	8	58.42166	3.023085E-02	24.18042	0.5266539	0.0337007	3.758955E-02	6.823153	6.460942	1.213274	2.437412E-02	0	97.752	
0	26.053	28.2308	9	1	9	58.89182	9.078019E-03	23.82031	0.4437162	3.390429E-02	-6.842501E-03	6.657371	7.001471	1.370412	7.332431E-02	0	98.29456	
0	26.058	28.2308	10	1	10	60.26876	9.613758E-03	23.96125	0.4797465	-1.631356E-02	0.0681419	6.393117	6.67665	1.248304	4.912705E-02	0	99.1384	
0	26.063	28.2308	11	1	11	59.67318	-1.153091E-02	23.85048	0.396782	2.183411E-02	0.106519	6.099798	6.923937	1.327425	2.470049E-02	0	98.41313	
0	26.068	28.2308	12	1	12	58.88976	7.463215E-02	24.02224	0.3256247	-2.866016E-02	-2.172848E-02	6.293618	6.982164	1.169944	-2.429544E-02	0	97.6833	
0	26.073	28.2308	13	1	13	58.43028	3.027978E-02	24.6282	0.4435396	8.419976E-03	-2.249487E-02	7.214467	6.747921	1.156848	2.431287E-02	0	98.66177	
0	26.078	28.2308	14	1	14	57.69987	-1.376668E-02	24.74174	0.5497071	0.1341749	-2.306703E-04	7.686048	6.569655	1.054148	2.407254E-02	0	98.44542	
0	26.083	28.2308	15	1	15	57.42597	7.317318E-02	25.06316	0.3722642	-1.698162E-02	1.434912E-02	7.688175	6.221677	0.9119902	-1.834321E-04	0	97.75359	
0	26.088	28.2308	16	1	16	55.75587	9.288426E-02	25.95444	0.525431	1.981154E-02	-9.267043E-03	8.788175	5.832019	0.8760037	-6.127523E-04	0	97.83476	
0	26.093	28.2308	17	1	17	59.16022	0.137357	24.76625	0.5264057	-5.505735E-02	9.008203E-02	7.507696	6.509431	1.178735	-2.464669E-02	0	99.79648	
0	26.098	28.2308	18	1	18	59.10745	0.1358394	23.16418	1.249637	-5.065109E-03	4.644078E-02	6.048373	7.004032	1.576217	-2.472153E-02	0	98.30238	
0	26.103	28.2308	19	1	19	59.73549	4.244263E-02	21.43015	3.880786	6.643394E-02	0.3831493	5.746377	6.054874	1.519636	-2.566693E-02	0	98.83367	
0	26.108	28.2308	20	1	20	47.14104	0.1497899	16.21909	8.525887	5.962474E-03	0.4247451	4.550856	4.146892	1.258602	-0.0523126	0	82.37056	
0	26.113	28.2308	21	1	21	59.59424	3.042412E-02	24.5563	0.4436674	-1.676995E-02	3.018242E-02	7.215868	6.695632	1.147565	-4.897658E-02	0	99.64813	
0	26.118	28.2308	22	1	22	58.2308	0.2446851	24.8167	0.5143738	3.336981E-02	-3.021759E-02	7.306675	6.686323	1.090875	-2.464546E-02	0	98.86893	
0	26.123	28.2308	23	1	23	57.81229	9.498502E-02	25.86949	0.3486774	-5.471137E-02	1.414686E-02	7.618654	6.184121	0.9221629	7.315927E-02	0	98.88297	
0	26.128	28.2308	24	1	24	57.99906	0.1154409	24.79746	0.431128	3.313397E-02	2.995901E-02	7.966603	6.648022	1.072955	-3.530926E-04	0	99.09342	
0	26.133	28.2308	25	1	25	58.10065	-9.888819E-02	25.34833	0.4552467	8.415341E-02	4.525616E-02	7.367417	6.705273	1.10758	-2.457957E-02	0	99.09044	
0	26.138	28.2308	26	1	26	58.91043	-0.1423079	23.93566	0.5737985	7.127967E-02	-3.763385E-02	7.410491	6.771159	1.117241	-2.050862E-04	0	98.60992	
0	26.143	28.2308	27	1	27	60.27499	0.1599	24.5943	0.5270354	-2.899768E-02	6.823836E-02	6.097236	6.819075	1.434782	1.115949E-04	0	99.94666	
0	26.148	28.2308	28	1	28	59.18486	-0.0123451	24.22353	0.4674543	-4.187735E-02	-0.0293518	6.727395	7.233877	1.415862	-2.447559E-02	0	99.14493	
0	26.153	28.2308	29	1	29	59.23542	-0.098561	24.4933	0.514855	-5.465907E-02	1.512411E-02	6.827434	6.721379	1.464724	2.438433E-02	0	99.14339	
0	26.158	28.2308	30	1	30	53.67555	6.815453E-02	21.58814	0.5589698	8.086634E-02	6.676631E-02	10.71278	6.147998	1.266099	3.574951	0	97.74028	
0	26.163	28.2308	31	1	31	47.69302	0.1927368	20.8415	0.4962993	3.961375E-02	-1.889427E-02	15.28875	5.732146	1.095744	6.942089	0	98.30301	
0	26.168	28.2308	32	1	32	59.57303	-1.220598E-02	24.29848	0.3963559	-1.653021E-02	-5.211203E-02	7.103387	7.183783	1.089384	-2.445676E-02	0	99.53911	
0	26.173	28.2308	33	1	33	65.71113	0.2233699	20.60969	0.6693396	2.089186E-02	0.0714792	4.407269	4.825101	3.048407	4.915065E-02	0	99.63582	
0	26.178	28.2308	34	1	34	69.66817	9.374321E-02	16.97902	0.8594669	-4.763977E-03	6.969786E-02	2.737666	3.980817	4.585165	4.924319E-02	0	99.01822	
0	26.183	28.2308	35	1	35	65.79062	0.3059941	17.24079	1.392309	3.177587E-02	3.191806E-02	2.830243	3.501171	4.50761	0.024157	0	95.65659	
0	26.188	28.2308	36	1	36	65.36066	0.1785237	19.37603	1.155338	-1.800683E-02	0.1909566	4.141176	4.711198	3.534044	4.879756E-02	0	98.67872	
0	26.193	28.2308	37	1	37	60.4444	-1.244984E-02	24.08598	0.6574733	-7.980464E-02	-7.857265E-03	6.198005	6.40389	1.529427	-2.443978E-02	0	99.19463	
0	26.198	28.2308	38	1	38	59.3296	7.267018E-02	24.7687	0.5500472	-1.721216E-02	-3.100336E-02	7.368295	6.22096	1.224669	2.421014E-02	0	99.51094	
0	26.203	28.2308	39	1	39	59.40175	5.214374E-02	23.95265	0.5150506	-0.0797871	0.1128175	6.670801	6.453077	1.227254	7.341604E-02	0	98.3792	
0	26.208	28.2308	40	1	40	58.62365	0.1380776	24.49762	0.4912063	-0.0292279	3.746936E-02	6.458683	6.439574	1.26972	-4.892038E-02	0	97.87784	
0	26.213	28.2308	41	1	41	58.48538	-9.858959E-02	24.78019	0.3723621	0.109629	7.541161E-03	7.088791	6.658253	1.137777	-4.895878E-02	0	98.49237	
0	26.218	28.2308	42	1	42	59.9674	0.2889164	24.2015	0.3133041	-0.0544153	0.1062501	6.947622	6.976169	1.15143	4.888978E-02	0	99.94707	
0	26.223	28.2308	43	1	43	59.23557	-7.704881E-02	24.18831	0.4318035	0.0211874	1.462568E-02	6.88196	6.371175	1.268954	2.442138E-02	0	98.36095	
0	26.228	28.2308	44	1	44	60.07301	-5.477029E-02	24.59864	0.3728283	9.027254E-03	0.0232668	6.49064	7.037741	1.332596	2.459625E-02	0	99.90756	
0	26.233	28.2308	45	1	45	58.60034	0.0729747	23.92087	0.5026862	-2.964755E-02	1.580624E-02	7.448709	7.053856	1.006454	4.864724E-02	0	98.64069	
0	26.238	28.2308	46	1	46	66.45068	0.1155217	19.78491	1.096883	-4.408731E-03	3.687323E-02	4.485108	6.012387	2.436893	9.571063E-05	0	100.4149	
0	26.243	28.2308	47	1	47	75.4024	0.5612231	11.3914	2.165527	-7.344793E-03	5.108591E-02	0.7217088	1.868072	6.19575	-4.978282E-02	0	98.30003	
0	26.248	28.2308	48	1	48	77.60054	0.6038547	10.11407	2.320632	-4.535847E-02	0.1164093	0.2042545	1.433888	6.61479	-5.24361E-04	0	98.96255	
0	26.253	28.2308	49	1	49	66.70427	0.3043334	9.402437	7.269996	2.098239E-02	0.6374037	0.6680925	1.334663	6.488449	6.995463E-02	0	92.90059	
0	26.258	28.2308	50	1	50	76.42989	0.6001739	9.288206	3.079998	5.415432E-02	0.2654722	0.5940452	1.489117	6.201656	-5.018318E-02	0	97.95252	
0	26.263	28.2308	51	1	51	69.41158	0.222069	15.66718	1.418087	-4.273679E-02	0.1775754	2.911788	4.876032	3.320451	0.0493874	0	98.01141	
0	26.268	28.2308	52	1	52	59.96647	-1.116981E-02	24.97454	0.4087363	-5.374527E-02	-4.389164E-02	6.222164	7.510352	1.134509	4.924728E-02	0	100.1572	
0	26.273	28.2308	53	1	53	58.59933	-1.205496E-02	23.80648	0.3371114	-3.787315E-03	0.0825078	6.518215	6.359648	1.283008	6.229933E-05	0	96.97052	
0	26.278	28.2308	54	1	54	60.38234	7.400991E-02	23.82209	0.4202566	5.951421E-02	7.554787E-02	6.11146	6.65199	1.317261	-2.435007E-02	0	98.89012	
0	26.283	28.2308	55	1	55	61.38667	9.367643E-03	24.02733	0.360797	7.201555E-02	1.563288E-02	6.685669	7.048887	1.289662	-2.441035E-02	0	100.8716	
0	26.288	28.2308	56	1	56	60.10201	-1.232239E-02	24.53016	0.4437001	-3.931623E-03	-0.0146243	6.587819	7.056236	1.481877	-2.445083E-02	0	100.1465	
0	26.293	28.2308	57	1	57	58.72519	3.111061E-02	24.27104	0.3252824	-1.629918E-02	-2.983841E-02	6.377616	6.78761	1.37467	8.771689E-05	0	97.84647	
0	26.298	28.2308	58	1	58	56.7575	4.151155E-02	21.41105	4.13992	-3.462242E-02	0.1290095	5.309722	5.478212	1.408569	7.182372E-02	0	94.71271	
0	26.303	28.2308	59	1	59	56.00695	3.775039E-03	22.75439	2.267715	6.873991E-02	0.0603436	6.060748	5.968874	1.152448	0.0236877	0	94.36768	
0	26.308	28.2308	60	1	60	59.03593	3.132831E-02	24.44465	0.3491691	-2.879526E-02	-7.377117E-03	6.321033	6.621273	1.21861	2.464348E-02	0	98.01047	
0	26.313	28.2308	61	1	61	59.6768	0.1596731	24.34684	0.3963109	-3.900666E-03	2.978637E-02	6.55719	6.438796	1.253481	2.449979E-02	0	98.87948	
0	26.318	28.2308	62	1	62	59.70905	0.0304354	23.75532	0.3486635	-4.203178E-02	3.804037E-02	7.105415	6.906807	1.35273	4.876387E-02	0	99.2532	
0	26.323	28.2308	63	1	63	57.30808	-9.881803E-02	23.46064	0.3721938	0.1347255	7.326906E-03	6.65583	6.37992	1.346666	-1.023817E-04	0	95.56645	
0	26.328	28.2308	64	1	64	59.70832	-3.364272E-02	23.66488	0.4082905	8.813905E-03	1.481672E-02	6.448361	6.405563	1.286744	-4.889138E-02	0	97.86324	
0	26.333	28.2308	65	1	65	59.041	0.1590667	24.49813	0.5145912	-0.0168668	5.317958E-02	6.944845	6.871014	1.170229	-1.07786E-04	0	99.23509	
0	26.338	28.2308	66	1	66	59.35474	-1.230749E-02	24.48048	0.4555822	2.135945E-02	1.984621E-04	6.585302	6.757228	1.250077	2.449244E-02	0	98.91716	
0	26.343	28.2308	67	1	67	58.0569	3.056234E-02	24.93662	0.3724069	-4.191678E-02	-2.999664E-02	7.031406	6.795393	1.186384	-4.892509E-02	0	98.28884	
0	26.348	28.2308	68	1	68	57.12577	-0.207897	25.9315	0.3714983	-5.176975E-03	2.769925E-02	9.215055	5.613919	0.7082761	-2.487307E-02	0	98.75578	
0	26.353	28.2308	69	1	69	58.00784	9.478688E-02	25.20269	0.2773556	-1.688148E-02	8.192456E-02	7.881569	6.267503	0.7497362	-0.0245758	0	98.52195	
0	26.358	28.2308	70	1	70	59.55141	5.176384E-02	25.06095	0.4672033	2.110771E-02	5.284431E-02	7.113911	6.795565	1.105164	-0.0245159	0	100.1954	
