56	216	12096	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"TiO2 WT%"	"Al2O3 WT%"	"FeO WT%"	"MnO WT%"	"MgO WT%"	"CaO WT%"	"Na2O WT%"	"K2O WT%"	"P2O5 WT%"	"O WT%"	"Total"	
0	1.03666	7.8997	1	1	1	69.20665	0.3801326	10.27647	4.418173	0.1394333	0.8270664	2.12326	1.870015	5.500191	2.263464E-02	0	94.76402	
0	1.0417	7.8997	2	1	2	74.69457	0.5030933	11.01074	0.6813383	2.014311E-02	-1.445125E-02	0.3327509	2.295984	6.914147	9.870952E-02	0	96.53703	
0	1.04674	7.8997	3	1	3	74.12532	0.3527915	11.53771	0.4913091	4.576895E-02	-2.211476E-02	0.3472241	2.122986	6.985498	-0.024606	0	95.96189	
0	1.05178	7.8997	4	1	4	73.19234	0.3102629	11.4804	0.4797912	-2.990714E-02	-6.565158E-02	0.4175754	2.277619	6.609103	2.016333E-04	0	94.67172	
0	1.05682	7.8997	5	1	5	72.33044	0.7024086	11.2777	4.359836	6.498174E-02	0.0307439	0.3680476	2.349612	6.170032	-2.597717E-02	0	97.62783	
0	1.06186	7.8997	6	1	6	74.58547	0.4818183	11.80724	0.6220306	5.838055E-02	-2.924403E-02	0.3187651	2.167508	6.762811	4.947046E-02	0	96.82425	
0	1.0669	7.8997	7	1	7	73.26594	0.245307	11.62018	0.5867438	0.0207342	1.513272E-02	0.2489923	2.341086	6.590249	-0.0244947	0	94.90987	
0	1.07194	7.8997	8	1	8	74.35455	0.2663059	11.84523	0.7291819	-8.102763E-02	-7.748589E-03	0.2629351	1.935374	7.001373	8.802296E-05	0	96.30626	
0	1.07698	7.8997	9	1	9	74.1968	0.3091606	11.5539	0.8242932	7.662506E-03	7.065775E-07	0.2626424	2.063996	6.595685	1.236705E-04	0	95.81427	
0	1.08202	7.8997	10	1	10	74.85335	0.3531673	11.96202	0.6105551	-4.553594E-03	-2.106061E-02	0.3610947	2.645242	6.550092	4.964093E-02	0	97.35954	
0	1.08706	7.8997	11	1	11	73.99658	0.3515666	11.40281	0.8713546	5.795332E-02	5.134856E-02	0.3325206	2.140373	6.785119	7.402166E-02	0	96.06366	
0	1.0921	7.8997	12	1	12	74.29129	0.4179178	11.75699	0.4797272	5.878402E-02	7.345915E-03	0.34713	2.100911	6.533646	2.493455E-02	0	96.01867	
0	1.09714	7.8997	13	1	13	75.07439	7.309844E-02	11.5242	0.6226913	-4.249218E-02	-2.167339E-02	0.319465	2.246281	6.662359	2.501154E-02	0	96.48333	
0	1.10218	7.8997	14	1	14	73.75238	0.4354058	11.4659	1.405226	5.682053E-02	0.1920186	0.9477938	2.311604	6.540656	4.889546E-02	0	97.15671	
0	1.10722	7.8997	15	1	15	74.36391	5.149916E-02	11.14869	0.4322591	-4.552509E-03	-0.0438088	0.319709	2.212999	6.973547	-0.0244948	0	95.42976	
