175	95	16625	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"TiO2 WT%"	"Al2O3 WT%"	"FeO WT%"	"MnO WT%"	"MgO WT%"	"CaO WT%"	"Na2O WT%"	"K2O WT%"	"P2O5 WT%"	"O WT%"	"Total"	
0	-3.142	17.7127	1	1	1	74.03461	0.3269261	11.75247	1.583158	3.127728E-02	6.33525E-03	0.1491862	1.697877	7.028755	2.428124E-02	0	96.63487	
0	-3.137	17.7127	2	1	2	72.34123	0.1778232	11.14442	1.155967	1.930481E-02	0.0140748	0.3461836	1.891718	6.784822	2.446498E-02	0	93.90001	
0	-3.132	17.7127	3	1	3	72.34545	0.5162755	11.80518	2.531866	-8.387894E-03	0.1319346	0.6649675	1.714273	6.679513	-8.81261E-04	0	96.38019	
0	-3.127	17.7127	4	1	4	73.11858	0.3701384	11.28057	1.249985	0.1197199	0.22659	0.7100335	1.844608	7.05673	9.789284E-02	0	96.07484	
0	-3.122	17.7127	5	1	5	73.17641	0.243227	11.71112	0.7638167	8.294971E-02	4.333681E-02	0.2905197	2.043023	7.201868	-1.415602E-04	0	95.55612	
0	-3.117	17.7127	6	1	6	75.51983	0.4575403	11.1857	1.179765	-6.085314E-03	2.139286E-02	0.4580787	1.925707	6.907209	2.442607E-02	0	97.67357	
0	-3.112	17.7127	7	1	7	70.75476	0.2414425	11.28735	1.262298	-3.190315E-02	5.002756E-02	0.7806069	1.621046	6.773983	-4.181481E-04	0	92.7392	
0	-3.107	17.7127	8	1	8	73.83929	0.4157713	11.4011	0.8116503	-0.0689361	-2.311197E-02	0.3887613	1.624129	7.063457	-1.233739E-04	0	95.452	
0	-3.102	17.7127	9	1	9	73.62976	0.2650255	11.68034	0.9902686	4.529441E-02	-4.945321E-04	0.2482528	1.824678	6.417216	7.414455E-02	0	95.17449	
0	-3.097	17.7127	10	1	10	75.00341	0.1584255	11.32841	0.7529683	8.385263E-02	-6.603392E-03	0.2066427	2.522059	6.451872	2.112024E-04	0	96.50125	
0	-3.092	17.7127	11	1	11	73.69633	0.2450076	11.55109	0.6818222	-8.058832E-02	-2.846566E-02	0.4452269	2.623381	6.3377	2.152763E-04	0	95.47173	
0	-3.087	17.7127	12	1	12	73.68671	0.3938814	11.07856	1.037628	8.320364E-02	3.022062E-02	0.2759871	2.499511	6.238232	-2.466171E-02	0	95.29927	
0	-3.082	17.7127	13	1	13	74.25338	0.2876643	11.85229	0.9076809	-6.797551E-02	-2.852633E-02	0.1644755	2.511645	6.230632	7.439057E-02	0	96.18567	
0	-3.077	17.7127	14	1	14	75.00404	0.2216983	11.21788	1.27571	0.0579496	-2.113968E-02	0.2059219	2.512244	6.072848	2.482704E-02	0	96.57198	
0	-3.072	17.7127	15	1	15	74.40119	0.6521093	11.51928	0.9899386	4.519142E-02	0.0156096	0.4158096	2.615589	6.26162	-1.805448E-05	0	96.91632	
0	-3.067	17.7127	16	1	16	74.09177	0.519589	11.72687	1.880151	0.1451002	0.0159262	0.3862486	2.635225	5.908662	4.905466E-02	0	97.3586	
0	-3.062	17.7127	17	1	17	74.27776	0.5219841	11.41289	1.334431	-5.831987E-03	-1.379152E-02	0.6393829	2.622845	6.082251	9.852672E-02	0	96.97043	
0	-3.057	17.7127	18	1	18	72.59533	0.1558298	11.6672	1.726827	-5.989856E-03	0.1267356	0.806851	2.574252	5.528715	2.458413E-02	0	95.20033	
0	-3.052	17.7127	19	1	19	73.04545	0.3088502	11.225	1.086148	-6.805972E-02	0.1037146	0.2622863	2.379478	5.675578	2.690801E-04	0	94.01871	
0	-3.047	17.7127	20	1	20	74.81017	0.4388162	11.29643	0.7413671	-5.517619E-02	-1.351862E-02	0.2346272	2.698863	6.154176	4.971297E-02	0	96.35547	
0	-3.042	17.7127	21	1	21	72.74033	0.438394	11.34156	0.5387357	0.07108	-5.820822E-02	0.3467647	2.426607	6.456338	2.478956E-02	0	94.32639	
0	-3.037	17.7127	22	1	22	72.47481	0.7076194	11.2687	2.98313	1.644212E-02	0.2823168	0.8725696	2.054465	5.944815	2.362771E-02	0	96.62849	
0	-3.032	17.7127	23	1	23	74.67915	0.5883597	11.35142	0.8238022	-3.062998E-02	-2.918896E-02	0.5705365	2.244938	6.424409	2.466907E-02	0	96.64746	
0	-3.027	17.7127	24	1	24	73.82198	0.523645	11.26674	1.014255	-9.376544E-02	-5.081622E-02	0.3461865	2.360916	6.159328	0.074165	0	95.42262	
0	-3.022	17.7127	25	1	25	74.29218	0.2454137	11.79552	0.5869567	0.0209969	0.015063	0.2069003	2.296931	6.20191	3.502213E-04	0	95.66222	
0	-3.017	17.7127	26	1	26	73.75189	0.2883063	11.33621	0.6582717	2.092655E-02	-6.478522E-03	0.4029679	2.446334	5.864854	4.980109E-02	0	94.81309	
0	-3.012	17.7127	27	1	27	72.36568	0.417543	11.58176	0.7058688	-2.960793E-02	-2.075037E-02	0.2346357	2.612388	5.69684	-4.910212E-02	0	93.51526	
0	-3.007	17.7127	28	1	28	75.25774	0.2460216	11.91503	0.6111406	-6.727643E-02	1.594937E-02	0.2631135	2.722723	5.954828	4.735653E-04	0	96.91975	
0	-3.002	17.7127	29	1	29	73.09116	0.4369184	11.36739	1.156546	-0.0306055	-0.0649413	0.3038782	2.82508	6.074863	0.0740974	0	95.23439	
0	-2.997	17.7127	30	1	30	74.55636	0.094536	11.97188	0.9557806	8.408636E-03	-6.029365E-03	0.2626662	2.604501	5.558994	2.521853E-02	0	96.03231	
0	-2.992	17.7127	31	1	31	73.33608	0.4386409	11.16208	0.7055817	4.612294E-02	-3.520401E-02	0.3185264	2.845997	5.831887	2.500656E-02	0	94.67473	
0	-2.987	17.7127	32	1	32	73.50482	0.3532254	11.31648	0.5750961	-4.223819E-03	1.600946E-03	0.2348546	2.892167	6.006866	7.452394E-02	0	94.95541	
0	-2.982	17.7127	33	1	33	73.18778	0.5420672	11.48668	1.726343	0.1204411	8.299043E-02	0.2607205	2.735141	5.48096	4.933181E-02	0	95.67247	
0	-2.977	17.7127	34	1	34	73.58602	0.2456871	11.95421	0.6228132	0.0339151	8.833062E-03	0.3609572	2.776632	5.683581	-2.430272E-02	0	95.24835	
0	-2.972	17.7127	35	1	35	74.62807	0.417464	11.85276	0.6820033	-4.396472E-03	2.279587E-02	0.3047169	2.466942	5.96812	0.025062	0	96.36353	
0	-2.967	17.7127	36	1	36	74.35609	0.3095034	11.73241	0.765095	2.081067E-02	1.579568E-02	0.318663	2.635716	5.974276	3.021393E-04	0	96.12866	
0	-2.962	17.7127	37	1	37	74.70741	0.2028353	11.65065	0.6110726	2.136035E-02	2.378765E-02	0.3610968	2.922302	5.715892	4.794404E-04	0	96.21689	
0	-2.957	17.7127	38	1	38	72.0298	0.6240293	11.19948	2.675437	-0.0327894	-1.310064E-02	0.3290433	2.875255	5.59389	2.411381E-02	0	95.30515	
0	-2.952	17.7127	39	1	39	74.89592	0.3531528	11.57602	0.6941195	-1.686509E-02	0.0306767	0.2908028	2.695924	5.818357	4.082238E-04	0	96.33852	
0	-2.947	17.7127	40	1	40	74.00069	7.359626E-02	11.54006	0.5634829	8.466007E-02	1.573908E-02	0.249121	2.545768	5.814703	4.853339E-04	0	94.88831	
0	-2.942	17.7127	41	1	41	74.60493	0.2455308	11.4129	0.6346585	-4.241472E-03	-2.103975E-02	0.3610798	2.517642	5.911335	-2.435255E-02	0	95.63844	
0	-2.937	17.7127	42	1	42	75.0548	0.2001377	11.60322	1.323131	0.0199681	9.687211E-02	0.275907	2.658357	6.119012	2.479146E-02	0	97.37621	
0	-2.932	17.7127	43	1	43	74.79735	0.3924026	11.4114	1.548232	1.934526E-02	-4.316427E-02	0.3452697	2.698959	6.182116	9.857865E-02	0	97.45048	
0	-2.927	17.7127	44	1	44	74.02499	0.4341454	11.39654	1.868732	3.149683E-02	-4.348157E-02	0.3306572	2.45336	5.976762	0.0737991	0	96.547	
0	-2.922	17.7127	45	1	45	75.04394	0.2889037	11.20871	0.6348911	8.653643E-03	-1.323782E-02	0.3189819	2.705421	5.644824	2.524787E-02	0	95.86635	
0	-2.917	17.7127	46	1	46	73.59311	0.5675367	11.26022	0.6816504	0.1093383	8.522968E-03	0.1783117	2.616923	5.880706	4.970565E-02	0	94.94601	
0	-2.912	17.7127	47	1	47	75.23927	0.2668455	11.93019	0.6820583	0.008338	-5.767206E-02	0.2768506	2.601706	6.072894	3.611323E-04	0	97.02084	
0	-2.907	17.7127	48	1	48	71.58448	0.3947472	10.94071	0.692911	-5.586466E-02	5.926367E-02	0.3887729	2.501703	6.705032	4.925396E-02	0	93.26101	
0	-2.902	17.7127	49	1	49	66.00211	0.3438486	10.30826	2.316525	0.1806183	0.3551773	1.167501	1.78098	5.779569	-2.556392E-02	0	88.20901	
0	-2.897	17.7127	50	1	50	76.87383	0.3525994	11.68211	0.5866154	2.058553E-02	-2.239932E-02	0.33302	1.892281	6.648587	2.491778E-02	0	98.39214	
0	-2.892	17.7127	51	1	51	74.93158	0.3521411	11.11153	0.5981604	2.030128E-02	0.0363301	0.3329227	2.102856	6.797493	2.476449E-02	0	96.30807	
0	-2.887	17.7127	52	1	52	74.35202	7.250332E-02	11.64713	0.6579129	-5.539616E-02	-5.115434E-02	0.3192362	2.225073	6.731233	2.488061E-02	0	95.92344	
0	-2.882	17.7127	53	1	53	74.69003	0.20183	11.60208	0.5746663	2.063932E-02	2.211289E-02	0.2208947	2.297981	6.707465	2.0164E-04	0	96.3379	
0	-2.877	17.7127	54	1	54	75.9258	0.1588445	11.83995	0.6461532	2.073305E-02	-3.642935E-02	0.2208959	2.2359	6.591622	-4.917535E-02	0	97.55428	
0	-2.872	17.7127	55	1	55	73.311	0.222658	11.42812	0.6574445	3.288193E-02	3.650783E-02	0.3609451	2.186338	6.743865	9.872366E-02	0	95.07849	
0	-2.867	17.7127	56	1	56	70.53545	0.4044821	11.36528	3.515186	0.1156755	0.5656391	1.792352	1.797775	5.955975	-1.481369E-03	0	96.04633	
0	-2.862	17.7127	57	1	57	71.69894	0.2382463	11.21669	2.080703	0.1056317	0.3220767	1.324024	1.390528	6.382819	7.291291E-02	0	94.83257	
0	-2.857	17.7127	58	1	58	77.45009	0.3760448	12.80073	0.8618922	2.234763E-02	-0.0476521	0.9889392	3.956991	3.689056	0.100238	0	100.1987	
0	-2.852	17.7127	59	1	59	78.59843	0.3790427	12.642	0.3637055	-7.754342E-02	-3.236573E-02	1.060085	3.934427	2.922388	1.389313E-03	0	99.79156	
0	-2.847	17.7127	60	1	60	74.72648	0.2636988	11.28809	1.608201	-1.844273E-02	0.0452378	0.5832703	2.51962	5.776292	2.466466E-02	0	96.81711	
0	-2.842	17.7127	61	1	61	72.35872	0.3501609	11.51862	1.084651	6.743047E-03	-0.0376641	0.3600808	1.553987	6.628664	0.0491662	0	93.87314	
0	-2.837	17.7127	62	1	62	71.07065	0.1563647	11.21548	1.001269	0.1079175	6.438728E-02	0.3041759	1.500311	6.726429	-2.483649E-02	0	92.12215	
0	-2.832	17.7127	63	1	63	71.83933	0.5612761	11.54583	1.914338	0.1063231	-7.477329E-03	0.3021624	2.140484	6.595096	-2.518716E-02	0	94.97217	
0	-2.827	17.7127	64	1	64	72.6961	0.2877527	11.88263	0.6934032	-9.341071E-02	-3.631976E-02	0.27682	2.340546	6.558564	2.483127E-02	0	94.63092	
0	-2.822	17.7127	65	1	65	74.5536	0.2648441	11.66907	0.9899628	5.785184E-02	-0.0291867	0.3462873	2.266369	6.572688	0.123364	0	96.81485	
0	-2.817	17.7127	66	1	66	72.86875	0.5028048	11.66667	0.6812776	-6.826731E-02	1.497487E-02	0.3886761	2.364467	6.5096	0.1233751	0	95.05234	
0	-2.812	17.7127	67	1	67	73.27848	0.329138	11.1736	1.120651	-4.348739E-02	2.989727E-02	0.2900579	2.414972	6.499029	2.462669E-02	0	95.11696	
0	-2.807	17.7127	68	1	68	74.37611	0.3729511	11.40255	0.7523299	-1.807447E-02	-3.026357E-02	0.2905984	1.65435	6.969176	4.929968E-02	0	95.81903	
0	-2.802	17.7127	69	1	69	74.83286	0.2658009	11.75416	0.6099421	-1.783163E-02	2.018675E-02	0.2769333	1.3996	7.090459	0.1234099	0	96.35551	
0	-2.797	17.7127	70	1	70	72.36179	0.4094215	11.51524	2.389173	1.708093E-02	5.835376E-02	0.5814359	1.86112	6.74396	-8.154269E-04	0	95.93677	
0	-2.792	17.7127	71	1	71	70.9116	0.4765455	11.1213	1.618087	1.814462E-02	-1.629595E-02	0.4288958	1.298621	6.636316	-4.976393E-02	0	92.44345	
0	-2.787	17.7127	72	1	72	73.64957	0.308119	11.56068	0.7284049	9.580697E-02	0.0352562	0.3325889	1.591545	6.836341	7.395621E-02	0	95.21227	
0	-2.782	17.7127	73	1	73	72.87173	0.3273452	11.53583	1.333389	4.405578E-02	6.214028E-03	0.275521	1.684486	7.036814	2.427078E-02	0	95.13965	
0	-2.777	17.7127	74	1	74	73.45777	0.3300276	11.81193	0.645319	3.264621E-02	-2.305607E-02	0.3047214	1.621119	6.96171	0.1232683	0	95.26546	
0	-2.772	17.7127	75	1	75	74.51849	0.1789176	11.92189	0.9901804	0.0326183	0.0137515	0.2202942	1.697461	6.62521	4.941966E-05	0	96.19887	
0	-2.767	17.7127	76	1	76	73.89571	0.3949192	11.7426	0.7407565	-3.044457E-02	-0.0591761	0.4168027	1.705822	6.494715	7.95571E-05	0	95.30179	
