86	119	10234	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"O WT%"	"Calc. O"	"Total"
0	34.9914	0.7164	31	1	31	32.31693	6.8141	0.3128282	0.6325669	0.1696575	0.1308329	1.555442E-02	7.535315E-02	5.218129E-02	0	20.10709	40.52
0	34.9924	0.7164	32	1	32	32.25591	6.905593	0.3425915	0.6081142	0.1498211	5.889964E-02	6.705157E-02	0.1623029	4.776662E-03	0	20.11561	40.55506
0	34.9934	0.7164	33	1	33	32.44247	7.01554	0.3596025	0.4973991	0.1475648	1.544721E-02	7.514246E-02	0.101272	0.1651745	0	20.25829	40.81961
0	34.9944	0.7164	34	1	34	32.42389	7.038732	0.3925654	0.6239569	0.1652365	4.417015E-02	7.517862E-02	7.261362E-02	0.1657418	0	20.27908	41.00208
0	34.9954	0.7164	35	1	35	32.66709	6.900188	0.4200811	0.5881172	0.1633202	0.1302077	8.386645E-02	0.1021728	0.1195051	0	20.41274	41.17455
0	34.9964	0.7164	36	1	36	31.98404	6.920708	0.517137	0.4918972	0.1592643	0.3445661	4.928242E-02	0.1017657	0.1190916	0	20.18476	40.68776
0	34.9974	0.7164	37	1	37	31.66579	6.862747	0.5616608	0.5885784	0.1476465	0.3588862	8.409397E-02	-1.341163E-02	0.1442632	0	20.02062	40.40025
0	34.9984	0.7164	38	1	38	31.84268	6.901405	0.77084	0.7464111	0.1371416	0.5850087	0.057322	0.1295145	0.1408092	0	20.32179	41.31113
0	34.9994	0.7164	39	1	39	31.4057	6.633483	1.1498	0.6275705	0.1587867	0.7681466	0.1090789	-0.1026744	0.2128134	0	20.2014	40.96271
0	35.0004	0.7164	40	1	40	31.02009	6.685474	1.4854	0.6004226	0.1577229	1.396943	0.1501956	0.3013737	4.415791E-02	0	20.52632	41.84178
0	35.0014	0.7164	41	1	41	30.45413	6.490547	1.929763	0.6380534	0.1245862	1.617562	0.1078042	0.1877958	-4.575125E-02	0	20.34335	41.50449
0	35.0024	0.7164	42	1	42	30.31048	6.673086	2.386902	0.638216	0.1917928	1.887891	0.1232067	0.2706023	4.249532E-02	0	20.65642	42.52467
