103	98	10094	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"O WT%"	"Calc. O"	"Total"
0	10.1389	18.3736	31	1	31	30.76676	7.763097	1.40907	0.7501884	0.1119789	0.7661088	0.0834906	1.406304E-02	0.1206077	0	20.37074	41.78536
0	10.1399	18.3736	32	1	32	29.27874	8.001875	2.775839	0.9408689	0.2026038	2.611482	4.775501E-02	9.973927E-02	-2.185605E-02	0	21.0734	43.93705
0	10.1409	18.3736	33	1	33	27.19141	7.693832	5.274689	1.569145	0.1494342	5.543759	7.065462E-02	6.13056E-03	8.968804E-02	0	22.22125	47.58875
0	10.1419	18.3736	34	1	34	27.00768	7.332069	5.516711	1.751439	0.1506903	5.347657	4.444411E-02	0.1204613	0.1100345	0	21.94242	47.38119
0	10.1429	18.3736	35	1	35	28.92015	7.219734	2.375303	1.507987	0.1535603	2.116355	7.298168E-02	6.834457E-02	0.1630179	0	20.21615	42.59744
0	10.1439	18.3736	36	1	36	29.1115	7.489445	1.759448	1.089575	0.1491229	1.657571	4.067088E-02	1.614773E-02	-1.757549E-02	0	19.93738	41.29591
0	10.1449	18.3736	37	1	37	27.24894	7.294848	4.15253	0.9692945	0.134598	3.168271	0.1051543	0.1532994	-3.549846E-03	0	20.46328	43.22339
0	10.1459	18.3736	38	1	38	18.1878	6.548902	19.33856	1.860701	0.1003746	14.83043	8.290912E-02	0.185574	0.2045798	0	26.26863	61.33983
0	10.1469	18.3736	39	1	39	2.397543	2.180888	52.16251	2.561346	4.147151E-02	39.663	1.802144E-02	-9.747903E-03	2.318707E-02	0	39.39122	99.03822
0	10.1479	18.3736	40	1	40	0.3247554	0.1117409	55.82431	2.560281	6.939746E-03	42.57582	1.100994E-03	0.1641666	0.1602162	0	40.1878	101.7293
0	10.1489	18.3736	41	1	41	0.2569627	3.425573E-03	55.81184	2.665463	7.019306E-03	43.54444	-6.446103E-03	0.1644388	0.1841066	0	40.65005	102.6313
0	10.1499	18.3736	42	1	42	0.2886086	2.415965E-02	56.04187	2.586126	2.100433E-02	42.62996	-3.765988E-02	0.2525869	0.1828712	0	40.21947	101.9895
0	10.1509	18.3736	43	1	43	0.2132327	-1.295177E-02	56.202	2.516872	2.822644E-02	43.52534	-1.432506E-02	7.444768E-02	0.3017175	0	40.72002	102.8345
0	10.1519	18.3736	44	1	44	0.2200041	9.435018E-03	56.44651	2.590178	2.440574E-02	41.97263	0.0236954	0.102881	0.3476729	0	39.9609	101.7374
0	10.1529	18.3736	45	1	45	0.1922374	6.054217E-03	56.00211	2.705478	2.264412E-02	43.03333	-2.254123E-02	0.1912308	0.4881548	0	40.42162	102.6187
0	10.1539	18.3736	46	1	46	0.1964633	-2.452803E-02	55.93796	2.526634	2.980495E-02	42.26208	-1.464778E-02	1.380102E-02	0.4189052	0	39.92722	101.3465
0	10.1549	18.3736	47	1	47	0.2140124	-3.627494E-04	55.987	2.555054	2.258767E-02	41.46997	5.175485E-04	0.2218443	0.2528445	0	39.52919	100.7235
0	10.1559	18.3736	48	1	48	0.2220646	-3.180364E-04	56.38248	2.70798	2.613411E-02	41.87708	8.221944E-03	0.2813856	0.2291327	0	39.88569	101.7342
0	10.1569	18.3736	49	1	49	0.2097872	1.645736E-02	56.14634	2.693382	0.0335726	42.59368	-3.731426E-02	4.567046E-02	0.1609759	0	40.15032	101.8626
0	10.1579	18.3736	50	1	50	0.1713002	-1.164295E-02	56.1396	2.485754	2.798056E-02	42.03189	4.685551E-02	4.337763E-02	0.3950761	0	39.88448	101.3302
0	10.1589	18.3736	51	1	51	0.2028883	6.690486E-03	56.56256	2.486911	2.473538E-02	42.97258	3.206726E-02	-1.385075E-02	0.1847896	0	40.51136	102.4594
0	10.1599	18.3736	52	1	52	0.2417811	-9.34681E-03	56.09505	2.720544	3.362861E-02	42.68739	4.753713E-02	-7.333277E-02	0.2558461	0	40.2425	101.9991
0	10.1609	18.3736	53	1	53	0.1898846	8.167909E-03	55.80096	2.559597	0.0460035	43.19481	8.877792E-03	1.514594E-02	0.3256706	0	40.42395	102.1491
0	10.1619	18.3736	54	1	54	0.2097596	-2.560163E-02	56.27302	2.722331	1.942683E-02	43.15741	-6.453994E-03	0.0158001	0.2318189	0	40.51192	102.5975
0	10.1629	18.3736	55	1	55	0.2061593	6.663475E-03	55.76635	2.560625	3.713165E-02	42.56028	3.203506E-02	-4.398856E-02	0.2790035	0	40.06289	101.4043
0	10.1639	18.3736	56	1	56	0.2500131	4.402647E-03	56.17001	2.559768	0.019079	42.63514	-7.15383E-03	0.2212819	0.3939973	0	40.2751	102.2465
0	10.1649	18.3736	57	1	57	0.3160363	3.150975E-03	56.35295	2.662341	2.453676E-02	42.46795	-6.852839E-03	0.103691	0.3011683	0	40.23701	102.225
0	10.1659	18.3736	58	1	58	0.2833076	1.259402E-02	56.10591	2.545041	3.338075E-02	43.40582	7.477225E-04	0.2217042	0.3943797	0	40.71699	103.0029
0	10.1669	18.3736	59	1	59	0.2965225	-1.342289E-02	56.444	2.388688	3.322845E-02	42.05229	1.593047E-02	0.1919861	0.3000504	0	40.03826	101.7093
0	10.1679	18.3736	60	1	60	0.2967268	4.435294E-03	55.81654	2.516233	4.757704E-02	43.35313	1.616123E-02	0.1618825	0.4885974	0	40.62286	102.7013
0	10.1689	18.3736	61	1	61	0.3179278	-2.285185E-02	55.47866	2.430613	2.630425E-02	41.88799	8.342522E-04	0.1632769	0.2302206	0	39.65441	100.513
0	10.1699	18.3736	62	1	62	0.3547617	1.229025E-02	55.73965	2.62916	0.0385575	43.3054	-2.270856E-02	0.2794515	0.5813333	0	40.61562	102.9179
