131	112	14672	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"O WT%"	"Calc. O"	"Total"
0	5.8388	-3.3249	1	1	1	94.84492	-0.0150335	0.040752	3.444768E-02	1.042176E-03	-2.603538E-02	8.588045E-03	-9.725863E-02	9.408234E-03	0	50.49474	94.80083
0	5.8398	-3.3249	2	1	2	93.59675	-1.473155E-02	4.240817E-02	0.1013764	-4.821997E-03	3.46142E-03	-4.378979E-02	-0.1551058	-3.637081E-02	0	49.80061	93.48918
0	5.8408	-3.3249	3	1	3	94.00726	-2.123492E-02	1.691381E-02	-3.294598E-02	-9.112482E-03	-0.0116923	3.451447E-02	-0.010665	0.1013042	0	50.08919	94.07434
0	5.8418	-3.3249	4	1	4	94.38446	-0.01937	2.281328E-02	5.004951E-02	-2.964703E-03	3.229267E-03	1.731739E-02	-9.744465E-02	3.262655E-02	0	50.26777	94.39072
0	5.8428	-3.3249	5	1	5	94.35901	-1.060676E-02	2.301073E-02	9.628807E-03	1.705809E-02	1.800242E-02	6.132595E-02	-0.1556194	9.943464E-03	0	50.28057	94.33176
0	5.8438	-3.3249	6	1	6	94.13818	-3.972232E-03	2.518754E-02	0.0835693	-5.116574E-03	-1.167979E-02	8.223761E-03	7.773488E-02	7.841803E-03	0	50.15172	94.31996
0	5.8448	-3.3249	7	1	7	94.36184	2.774248E-02	4.749727E-02	-0.0542699	-3.00068E-03	-4.077601E-02	-2.659747E-02	4.944159E-02	-8.468409E-02	0	50.23483	94.27719
0	5.8458	-3.3249	8	1	8	93.88445	1.061273E-02	2.547835E-02	6.544258E-02	2.978493E-03	-2.612313E-02	-4.413463E-02	-0.0388845	8.914284E-03	0	49.96593	93.88875
0	5.8468	-3.3249	9	1	9	94.19637	3.404513E-03	4.878622E-02	0.1062868	-5.027743E-03	4.703928E-02	-9.129474E-03	-9.735282E-03	8.635529E-03	0	50.2023	94.38663
0	5.8478	-3.3249	10	1	10	94.62763	-3.879084E-03	6.383522E-02	1.788603E-02	4.90069E-03	-0.0262406	-2.673925E-02	1.935844E-02	8.307624E-03	0	50.38575	94.68506
0	5.8488	-3.3249	11	1	11	94.70419	-3.45651E-03	3.397017E-02	0.1071591	-9.0825E-04	6.191458E-02	-2.639874E-02	-3.797887E-02	-8.382024E-02	0	50.44615	94.75467
0	5.8498	-3.3249	12	1	12	94.94939	4.891734E-03	4.751043E-02	3.727325E-02	2.985754E-03	3.17839E-03	-2.809335E-04	-9.770982E-02	5.577702E-02	0	50.57808	95.00302
0	5.8508	-3.3249	13	1	13	93.94572	-6.404244E-03	2.839594E-02	5.653253E-02	-4.924273E-03	-5.531441E-02	1.738582E-02	-8.809964E-03	-0.0840819	0	50.00389	93.8885
0	5.8518	-3.3249	14	1	14	94.82111	-1.253154E-03	6.630923E-02	4.559803E-02	2.79566E-03	9.070213E-02	8.102824E-03	-4.052479E-02	0.1710632	0	50.59232	95.16391
0	5.8528	-3.3249	15	1	15	94.26089	-0.0065036	7.368608E-02	9.098628E-02	-1.095477E-02	3.196778E-03	-9.023015E-03	-3.869434E-02	-1.429392E-02	0	50.20757	94.3493
0	5.8538	-3.3249	16	1	16	94.21158	7.978514E-04	7.524938E-02	3.159989E-02	-1.088256E-02	-1.132799E-02	-1.056557E-04	-3.803914E-02	-8.387838E-02	0	50.17172	94.17499
0	5.8548	-3.3249	17	1	17	94.55898	-2.252359E-02	7.895917E-02	0.1658594	-1.502871E-02	-2.624113E-02	-1.797098E-02	0.0488064	-1.506599E-02	0	50.35228	94.75577
0	5.8558	-3.3249	18	1	18	93.52937	-9.299784E-03	0.1701554	0.1262423	1.034794E-03	7.640179E-02	3.485744E-02	-3.836562E-02	-6.078181E-02	0	49.9052	93.82961
0	5.8568	-3.3249	19	1	19	92.09406	-1.521692E-02	0.7897107	7.737696E-02	-9.011788E-03	0.7470266	-2.662263E-02	-9.549241E-03	-0.1082138	0	49.65362	93.53956
0	5.8578	-3.3249	20	1	20	86.98992	-1.646783E-03	4.114239	0.3675243	1.016464E-02	3.784527	-1.914729E-02	-0.1019581	-0.0418174	0	49.60168	95.10181
0	5.8588	-3.3249	21	1	21	75.32409	1.582961E-02	10.75814	0.990744	6.771101E-03	9.303176	2.956092E-02	-0.0807341	-4.967642E-02	0	48.43272	96.2979
0	5.8598	-3.3249	22	1	22	62.21922	8.398551E-03	19.60174	1.112314	0.0294286	15.76949	7.741834E-03	0.1708993	0.171093	0	47.67424	99.09032
0	5.8608	-3.3249	23	1	23	49.03027	-6.891716E-03	27.81336	1.144452	2.574633E-02	22.61818	-2.819955E-02	1.527134E-02	0.2108806	0	46.80814	100.8231
0	5.8618	-3.3249	24	1	24	36.49784	5.457901E-03	35.49895	1.436649	0.0221505	27.03167	1.606392E-03	-5.168694E-02	0.1804558	0	44.82234	100.6231
0	5.8628	-3.3249	25	1	25	23.56864	6.815105E-02	42.77907	1.589454	2.578448E-02	32.75138	3.800625E-02	2.792228E-02	0.3363119	0	43.31848	101.1847
0	5.8638	-3.3249	26	1	26	13.23308	0.1167718	48.66566	1.574868	3.310492E-02	36.30756	3.204416E-03	0.3771535	0.2106744	0	41.52928	100.5221
0	5.8648	-3.3249	27	1	27	6.722269	0.0448622	52.91238	1.802029	4.125329E-02	39.89557	-1.352361E-02	7.678844E-02	0.3736485	0	41.2366	101.8553
