107	75	8025	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"O WT%"	"Calc. O"	"Total"
0	-2.36124	22.3224	1	1	1	39.30829	6.448162	10.93928	0.4061336	0.1156902	2.292886E-02	-2.487816E-02	-1.96804E-03	0.0116683	0	26.61464	57.22531
0	-2.36022	22.3224	2	1	2	39.55557	6.707014	11.16669	0.4636961	0.1040497	8.944172E-03	1.651984E-02	-3.071799E-03	8.107049E-02	0	26.94089	58.10048
0	-2.3592	22.3224	3	1	3	39.68244	6.594624	11.16175	0.4480974	8.501361E-02	2.272375E-02	3.324853E-02	5.624045E-02	1.081517E-02	0	26.97869	58.09496
0	-2.35818	22.3224	4	1	4	39.36662	6.73658	11.05481	0.4778363	9.664136E-02	3.673108E-02	-8.080913E-03	5.778304E-02	-8.170514E-02	0	26.80615	57.73721
0	-2.35716	22.3224	5	1	5	39.48193	6.75299	11.04448	0.360674	0.1169449	3.568804E-02	2.394206E-02	8.113445E-02	0.2879606	0	26.94724	58.18574
0	-2.35614	22.3224	6	1	6	39.57377	6.92497	11.18924	0.4775596	8.324551E-02	-3.198623E-02	5.017889E-02	-0.119814	0.1060293	0	27.0271	58.2532
0	-2.35512	22.3224	7	1	7	39.39418	6.806467	11.12948	0.443117	0.1055524	4.955924E-02	-4.250608E-02	0.2002474	0.1012964	0	26.90422	58.18739
0	-2.3541	22.3224	8	1	8	39.74914	6.748945	10.92998	0.4203112	0.1004385	2.291975E-02	-8.241992E-03	-2.308101E-03	5.832271E-02	0	26.98291	58.01951
0	-2.35308	22.3224	9	1	9	39.96747	6.854657	11.29537	0.471314	8.702038E-02	2.286069E-02	5.009839E-02	-1.958038E-03	1.168427E-02	0	27.27357	58.75851
0	-2.35206	22.3224	10	1	10	39.70853	6.8438	11.07497	0.4641447	0.0890333	-4.474583E-03	0.0585937	0.028094	-3.482929E-02	0	27.05579	58.22787
0	-2.35104	22.3224	11	1	11	39.67517	6.752676	11.31203	0.4312095	0.1077728	8.822802E-03	1.637768E-02	-3.605016E-03	0.1040564	0	27.06731	58.40451
