78	250	19500	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"TiO2 WT%"	"Al2O3 WT%"	"FeO WT%"	"MnO WT%"	"MgO WT%"	"CaO WT%"	"Na2O WT%"	"K2O WT%"	"P2O5 WT%"	"O WT%"	"Total"	
0	-3.7513	24.0393	31	1	31	74.6338	0.460377	12.16707	0.8592774	-4.461833E-03	9.863036E-04	0.1781036	2.477937	5.908022	2.508015E-02	0	96.70619	
0	-3.7463	24.0393	32	1	32	75.32635	0.3307541	11.55503	0.977873	4.602192E-02	2.406718E-02	0.275919	3.025599	5.912951	2.501949E-02	0	97.49957	
0	-3.7413	24.0393	33	1	33	74.41475	0.4806099	11.03439	1.155743	3.299429E-02	-3.486063E-02	0.4851253	3.096645	5.581858	-4.927068E-02	0	96.19798	
0	-3.7363	24.0393	34	1	34	71.7765	0.4940223	11.35412	3.004009	5.482498E-02	-5.091595E-02	0.3141729	2.711834	5.920464	7.311106E-02	0	95.65215	
0	-3.7313	24.0393	35	1	35	65.52325	0.2435813	9.841578	6.899979	7.249457E-02	2.682353	3.242363	2.413058	4.294447	4.584356E-02	0	95.25894	
0	-3.7263	24.0393	36	1	36	62.26825	0.4919278	8.091711	13.59522	0.5581074	4.673055	4.534989	1.769497	3.065394	1.821912E-02	0	99.06637	
0	-3.7213	24.0393	37	1	37	68.85349	0.2735414	10.85014	4.257676	0.1774229	1.305354	1.75986	1.871714	5.946983	0.1449846	0	95.44116	
0	-3.7163	24.0393	38	1	38	75.70152	0.1806946	11.61816	0.5266222	4.613686E-02	-7.545974E-03	0.1926569	2.003163	6.763184	2.498593E-02	0	97.04958	
0	-3.7113	24.0393	39	1	39	73.02834	0.2392596	11.95749	2.471543	4.335358E-02	3.041705E-02	0.1898384	2.386513	6.088692	-4.138857E-04	0	96.43504	
0	-3.7063	24.0393	40	1	40	74.84942	0.6108872	11.47405	0.7876235	-4.277454E-02	1.089118E-03	0.1500271	2.667852	6.404606	0.0495851	0	96.95236	
0	-3.7013	24.0393	41	1	41	75.04043	0.2025185	11.7306	0.7883782	-4.197931E-03	-2.821167E-02	0.1924645	2.54808	5.911626	4.335919E-04	0	96.38213	
0	-3.6963	24.0393	42	1	42	74.64792	0.6323739	11.32483	0.7280577	-4.293476E-02	-6.284491E-03	0.4299894	2.721244	6.447869	-2.459187E-02	0	96.85847	
0	-3.6913	24.0393	43	1	43	74.04774	0.3257973	11.44846	2.19872	3.093974E-02	0.0970614	0.3019185	2.467773	6.308647	7.357285E-02	0	97.30063	
0	-3.6863	24.0393	44	1	44	75.71886	0.3304878	11.73313	0.8229922	-3.039554E-02	7.904199E-03	0.2902174	2.532206	6.890474	7.410906E-02	0	98.36998	
0	-3.6813	24.0393	45	1	45	73.63356	0.3504473	11.17912	1.23815	1.960453E-02	-0.0365948	0.2334579	2.122559	6.462947	2.462992E-02	0	95.22789	
0	-3.6763	24.0393	46	1	46	73.70806	0.5247779	11.10682	0.6211766	2.040608E-02	-8.747131E-02	0.3041996	2.447555	6.540507	2.479629E-02	0	95.21083	
0	-3.6713	24.0393	47	1	47	74.87059	0.2659681	11.5864	0.8707635	4.576132E-02	-3.621759E-02	0.2761345	2.292243	6.343659	-2.454038E-02	0	96.49075	
0	-3.6663	24.0393	48	1	48	73.62387	0.4169113	11.93292	0.8588862	7.959691E-03	3.110982E-02	0.3599106	2.918296	6.040352	4.962615E-02	0	96.23985	
0	-3.6613	24.0393	49	1	49	72.33687	0.4700787	11.10635	3.525327	5.340809E-02	0.1348367	1.177373	2.256728	5.941938	4.792455E-02	0	97.05084	
0	-3.6563	24.0393	50	1	50	73.95988	0.5028729	11.5439	0.7993004	-5.575805E-02	-7.328818E-02	0.3320971	2.041011	6.530128	2.477267E-02	0	95.60493	
0	-3.6513	24.0393	51	1	51	76.12067	2.899663E-02	11.9439	0.7281612	-5.03264E-03	-4.458252E-02	0.2766896	1.78613	7.159074	1.026177E-04	0	97.99411	
0	-3.6463	24.0393	52	1	52	75.11128	0.3303815	11.98705	0.6683987	4.543417E-02	-7.98379E-03	0.2763106	1.892368	7.129738	0.0740208	0	97.50701	
0	-3.6413	24.0393	53	1	53	73.61015	0.5025821	11.82136	0.7276729	-4.339198E-02	3.533366E-02	0.3742225	1.610701	6.956517	0.1232394	0	95.71838	
0	-3.6363	24.0393	54	1	54	73.38447	0.6466407	11.63564	2.244966	6.810322E-02	0.1177822	0.3851421	1.921302	6.597443	2.395377E-02	0	97.02544	
0	-3.6313	24.0393	55	1	55	74.87259	0.3956102	11.44225	0.621318	5.849323E-02	-2.927425E-02	0.3323766	2.111995	6.553378	0.1236622	0	96.48239	
0	-3.6263	24.0393	56	1	56	74.22611	0.308781	10.92239	0.5851772	7.253174E-03	-0.0448031	0.3747001	1.756697	7.277627	-7.241144E-05	0	95.41386	
0	-3.6213	24.0393	57	1	57	73.51199	0.6712958	11.32384	1.498236	3.126701E-02	-2.305987E-02	0.176704	1.570876	6.842896	-2.502341E-02	0	95.57903	
0	-3.6163	24.0393	58	1	58	73.73127	0.2816883	11.55036	2.280647	4.282773E-02	5.877511E-02	0.1899249	2.057295	7.113342	2.394492E-02	0	97.33008	
0	-3.6113	24.0393	59	1	59	72.55083	0.2433789	11.03694	0.84622	-5.695839E-03	-5.230558E-02	0.2901767	1.560017	7.068934	-1.235148E-04	0	93.53838	
0	-3.6063	24.0393	60	1	60	75.73151	0.1366735	11.08372	0.9422017	-1.764911E-02	-8.776177E-02	0.3323608	2.115356	6.45908	-0.0245601	0	96.67093	
0	-3.6013	24.0393	61	1	61	76.4965	0.2889372	11.09513	0.5388525	-1.696057E-02	1.510371E-02	0.3748906	2.296348	6.316721	2.510364E-02	0	97.43063	
0	-3.5963	24.0393	62	1	62	75.97151	0.2261647	11.70543	0.5878018	6.051264E-02	1.030064E-02	0.9336903	3.136882	3.992916	2.578704E-02	0	96.65099	
0	-3.5913	24.0393	63	1	63	76.62865	0.2892313	11.71825	0.9911693	-2.900813E-02	1.036754E-02	0.8351296	3.304455	4.481778	7.510318E-02	0	98.30511	
0	-3.5863	24.0393	64	1	64	75.57275	0.4827583	11.60126	0.3602786	8.088181E-03	4.303107E-02	0.2767395	1.803853	6.822422	-4.920489E-02	0	96.92198	
0	-3.5813	24.0393	65	1	65	75.03859	0.3092695	11.73915	0.6805907	-9.373897E-02	2.838296E-02	0.2625223	1.807069	7.121845	0.1481247	0	97.04182	
0	-3.5763	24.0393	66	1	66	74.94418	0.3721555	11.78728	1.131141	-8.179814E-02	-0.0224364	0.4298227	2.004625	7.02633	-1.646192E-04	0	97.59115	
0	-3.5713	24.0393	67	1	67	74.66981	0.26712	11.62911	0.4316055	-1.719457E-02	-8.046115E-02	0.3189446	2.085456	6.753376	2.494432E-02	0	96.0827	
0	-3.5663	24.0393	68	1	68	74.58895	0.3740522	11.77097	0.7044573	-0.1062969	-7.630779E-03	0.3885739	2.006334	6.77665	1.014383E-04	0	96.49616	
0	-3.5613	24.0393	69	1	69	75.72308	0.2669716	11.71364	0.5861083	-4.255376E-02	-1.495378E-02	0.2627204	1.909557	6.641225	4.972043E-02	0	97.09552	
0	-3.5563	24.0393	70	1	70	73.66608	0.3743238	11.51352	0.502607	4.587395E-02	-1.539254E-02	0.3185966	1.670071	6.602808	1.635133E-04	0	94.67867	
0	-3.5513	24.0393	71	1	71	74.1101	0.3952174	11.43591	0.692337	-5.113357E-03	-4.423222E-02	0.2482534	1.966104	6.832707	9.878996E-02	0	95.73007	
0	-3.5463	24.0393	72	1	72	74.57157	0.352805	11.42894	0.5501845	5.864438E-02	2.926618E-02	0.2764932	2.120226	6.572289	7.432094E-02	0	96.03474	
0	-3.5413	24.0393	73	1	73	69.18757	0.5229107	10.96584	6.045258	0.1741772	0.5102656	2.042735	2.344631	5.634629	-2.553048E-03	0	97.42546	
0	-3.5363	24.0393	74	1	74	73.55978	0.3954052	11.74966	0.668695	7.683567E-03	6.583399E-02	0.5704429	2.112129	6.430984	4.946484E-02	0	95.61008	
