231	99	22869	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"TiO2 WT%"	"Al2O3 WT%"	"FeO WT%"	"MnO WT%"	"MgO WT%"	"CaO WT%"	"Na2O WT%"	"K2O WT%"	"P2O5 WT%"	"O WT%"	"Total"	
0	-3.2957	7.1754	1	1	1	72.04078	0.390933	10.98483	1.737176	9.417582E-02	1.270619E-02	0.2187664	0.9919375	6.641832	0.048906	0	93.16205	
0	-3.2907	7.1754	2	1	2	72.19991	0.1998543	11.35852	1.120202	0.1462147	0.1463627	0.3319418	1.88086	6.4806	4.929187E-02	0	93.91376	
0	-3.2857	7.1754	3	1	3	70.88152	0.3087923	11.27758	0.7998399	7.431704E-03	8.721823E-02	0.2484001	1.779896	6.552959	9.878337E-02	0	92.04242	
0	-3.2807	7.1754	4	1	4	73.12073	0.4173005	11.37491	0.621818	-1.762334E-02	-7.394696E-03	0.3327859	2.07126	6.691471	4.947722E-02	0	94.65472	
0	-3.2757	7.1754	5	1	5	74.56272	0.3974233	11.04263	0.349229	-5.485021E-02	3.494565E-04	0.3193785	2.211288	6.414796	9.930493E-02	0	95.34227	
0	-3.2707	7.1754	6	1	6	74.43744	0.4174448	11.5968	0.6219175	4.595685E-02	2.309907E-02	0.3186518	2.688051	6.566976	1.698214E-04	0	96.7165	
0	-3.2657	7.1754	7	1	7	73.9839	0.2884891	11.6134	0.6341211	5.888817E-02	3.030719E-02	0.3608369	2.519281	6.200158	2.867345E-04	0	95.68967	
0	-3.2607	7.1754	8	1	8	75.13525	0.6537769	11.32727	0.7881616	8.370937E-02	0.0152948	0.3881064	2.328498	6.189	4.956135E-02	0	96.95863	
0	-3.2557	7.1754	9	1	9	73.92271	0.3533345	11.36764	0.6461284	-1.707276E-02	9.659469E-02	0.4589478	2.581869	6.075053	2.503051E-02	0	95.51024	
0	-3.2507	7.1754	10	1	10	72.32549	0.4087302	10.76825	2.971494	6.756829E-02	-0.1107149	0.2449294	2.308552	5.911735	-6.869659E-04	0	94.89535	
0	-3.2457	7.1754	11	1	11	74.45222	0.2461007	11.46114	0.6345426	-6.743301E-02	2.386109E-02	0.2769896	2.953587	6.127295	-0.0243356	0	96.08397	
0	-3.2407	7.1754	12	1	12	74.73438	0.2878468	11.30919	0.978812	9.675842E-02	-2.792487E-02	0.2062149	2.672886	5.76486	2.509419E-02	0	96.04812	
0	-3.2357	7.1754	13	1	13	75.82035	0.2678387	11.27134	0.670455	-1.657131E-02	4.578372E-02	0.1788485	2.798512	5.86924	7.484929E-02	0	96.98064	
0	-3.2307	7.1754	14	1	14	75.32049	0.5050868	12.1224	0.4444096	3.412751E-02	0.0157612	0.2348459	2.555786	5.979788	7.473904E-02	0	97.28742	
0	-3.2257	7.1754	15	1	15	74.12888	0.3541061	11.53266	0.444301	-2.939487E-02	-1.377491E-02	0.2350315	2.471725	6.252125	2.514755E-02	0	95.4008	
0	-3.2207	7.1754	16	1	16	71.21217	0.5576485	11.71504	3.076604	6.695929E-02	-0.1111971	0.3142315	2.150692	6.233887	2.368999E-02	0	95.23973	
0	-3.2157	7.1754	17	1	17	74.51343	0.2662016	11.59454	0.7049277	5.841481E-02	6.583952E-02	0.2485674	2.102943	6.738291	7.423722E-02	0	96.3674	
0	-3.2107	7.1754	18	1	18	73.61134	0.133312	11.0516	1.844307	5.653365E-02	2.145265E-02	0.1769483	1.711792	6.674983	0.0490411	0	95.33133	
0	-3.2057	7.1754	19	1	19	69.73476	0.5232366	10.90016	6.264428	9.942155E-02	-2.971762E-02	0.3366822	2.201303	5.842791	-2.670227E-02	0	95.84636	
0	-3.2007	7.1754	20	1	20	74.82738	0.3730108	11.6015	1.192169	7.543104E-03	-6.288588E-03	0.3038454	2.530886	6.045085	4.959217E-02	0	96.92471	
0	-3.1957	7.1754	21	1	21	74.93005	0.2892629	12.12999	0.6226282	-4.199934E-02	4.555553E-02	0.4029852	2.786274	5.949906	7.468101E-02	0	97.18933	
0	-3.1907	7.1754	22	1	22	71.40152	0.3000362	10.9732	3.398164	3.682646E-03	9.029526E-02	0.70464	2.284112	5.761164	4.831219E-02	0	94.96513	
