152	134	20368	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"O WT%"	"Calc. O"	"Total"
0	3.5365	13.7179	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0	3.5375	13.7179	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0	3.5385	13.7179	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0
0	3.5395	13.7179	4	1	4	0	0	0	0	0	0	0	0	0	0	0	0
0	3.5405	13.7179	5	1	5	4.912465	0.7627623	3.082214	0.203967	-1.266544E-03	1.049905	-3.376877E-02	-2.891509E-02	-0.1513934	0	4.343472	9.795969
0	3.5415	13.7179	6	1	6	10.78306	2.15264	4.585503	0.4197634	-7.726318E-03	2.319303	0.1165258	-0.1422006	-0.1223729	0	9.24369	20.10449
0	3.5425	13.7179	7	1	7	12.65274	2.378798	6.311854	0.4720638	5.906828E-04	4.234689	2.354245E-02	-6.288987E-02	-6.112324E-02	0	11.86613	25.95026
0	3.5435	13.7179	8	1	8	11.42967	1.917221	7.712341	0.4860315	-3.622613E-03	5.638496	4.670193E-02	-0.1246705	-8.697886E-02	0	12.22326	27.01519
0	3.5445	13.7179	9	1	9	11.06303	2.091409	9.387914	0.5146387	-3.79465E-03	6.20614	2.153634E-02	-0.1838802	-0.2043065	0	12.85415	28.89268
0	3.5455	13.7179	10	1	10	11.49802	2.27046	9.410524	0.5377455	-9.65526E-03	4.963088	2.074762E-02	-0.1565856	-0.1595811	0	12.47286	28.37476
0	3.5465	13.7179	11	1	11	8.818211	1.75613	10.07763	0.4249654	3.110688E-03	4.204656	5.588988E-02	-0.1407686	3.900168E-02	0	10.65683	25.23883
0	3.5475	13.7179	12	1	12	7.427794	1.583591	12.60627	0.2411826	1.833294E-02	5.112273	2.952845E-02	-0.1157283	-0.1067265	0	11.04737	26.79651
0	3.5485	13.7179	13	1	13	6.236432	1.148036	16.83195	0.7007191	2.410901E-02	7.825904	1.897792E-02	-0.0934195	-0.0667483	0	12.97777	32.62597
0	3.5495	13.7179	14	1	14	8.032012	1.060961	24.5987	0.7830991	0.0377647	11.81266	0.0333416	-0.2166304	7.148414E-02	0	18.37294	46.21339
0	3.5505	13.7179	15	1	15	5.244383	0.7887837	32.15815	0.7870491	3.415716E-02	15.61568	-4.616256E-02	0.133192	-7.906172E-02	0	21.06224	54.63618
0	3.5515	13.7179	16	1	16	2.310089	0.4318659	40.57475	0.7878519	2.531761E-02	24.80723	1.448195E-02	4.152031E-02	0.1551509	0	26.99648	69.14825
