78	270	21060	18	
"NK"	"X"	"Y"	"NX"	"NY"	"NXY"	"SiO2 WT%"	"MgO WT%"	"CaO WT%"	"F WT%"	"Cl WT%"	"P2O5 WT%"	"SO3 WT%"	"La2O3 WT%"	"Ce2O3 WT%"	"O WT%"	"Calc. O"	"Total"
0	5.1111	10.0909	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
0	5.1121	10.0909	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0
0	5.1131	10.0909	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0
0	5.1141	10.0909	4	1	4	0	0	0	0	0	0	0	0	0	0	0	0
0	5.1151	10.0909	5	1	5	0	0	0	0	0	0	0	0	0	0	0	0
0	5.1161	10.0909	6	1	6	0	0	0	0	0	0	0	0	0	0	0	0
0	5.1171	10.0909	7	1	7	0	0	0	0	0	0	0	0	0	0	0	0
0	5.1181	10.0909	8	1	8	0.3597582	1.550522E-02	0.6263465	-1.301683	3.715033E-02	0.2700135	5.363885E-02	0.1429459	0.2423741	0	0	0.4460498
0	5.1191	10.0909	9	1	9	0.5457027	1.383693E-02	0.6804814	-1.595775	2.446222E-02	0.2599144	0.1025394	0.1148777	0.4012014	0	0	0.5472411
0	5.1201	10.0909	10	1	10	0	0	0	0	0	0	0	0	0	0	0	0
0	5.1211	10.0909	11	1	11	0	0	0	0	0	0	0	0	0	0	0	0
0	5.1221	10.0909	12	1	12	0.3274349	0.0259012	0.9541523	0.4976925	1.812915E-03	0.4552818	1.346458E-02	7.596669E-02	0.1722365	0	0.7579315	2.523943
0	5.1231	10.0909	13	1	13	0.3264271	3.307883E-02	1.608571	0.6395336	3.606115E-03	0.75915	1.730037E-02	0.2349802	0.1824207	0	1.145425	3.805068
0	5.1241	10.0909	14	1	14	0.5567196	4.348655E-02	2.210924	1.041988	3.189688E-02	0.9373474	6.216929E-02	-4.072979E-02	0.1374974	0	1.524201	4.981299
0	5.1251	10.0909	15	1	15	0.6239674	4.441823E-02	2.201539	1.10346	2.303655E-02	1.183834	2.075794E-02	0.1415157	0.1387483	0	1.698829	5.481277
0	5.1261	10.0909	16	1	16	0.2700313	-3.744898E-02	1.785611	0.9151874	4.987147E-02	0.7406476	2.314738E-02	0.2596159	0.2241871	0	1.140718	4.23085
0	5.1271	10.0909	17	1	17	0.3769663	-2.607026E-02	2.037623	0.680744	3.122869E-02	0.514828	2.736342E-02	-2.071408E-02	8.254682E-02	0	1.087334	3.704515
0	5.1281	10.0909	18	1	18	1.741101	0.2416027	3.324	0.4335937	8.323449E-02	1.953611	0.1303726	-3.268287E-03	5.260243E-02	0	3.157928	7.95685
0	5.1291	10.0909	19	1	19	5.667553	1.31652	7.042688	0.2174041	7.314555E-02	4.436844	0.2126713	0.1953839	0.2322139	0	8.241107	19.39443
0	5.1301	10.0909	20	1	20	7.9809	2.074455	12.42872	-0.2100602	4.379968E-02	10.95067	4.890885E-02	4.155965E-03	5.980891E-02	0	14.83022	33.38136
0	5.1311	10.0909	21	1	21	5.152676	1.849252	29.42497	-0.1914945	4.822953E-02	25.3662	3.579094E-02	2.273253E-02	9.640993E-02	0	26.20836	61.80476
0	5.1321	10.0909	22	1	22	2.852731	0.9903416	36.80601	-9.732389E-02	3.987347E-02	32.12042	5.714072E-02	7.561011E-02	0.3967721	0	30.61948	73.24158
0	5.1331	10.0909	23	1	23	1.466131	0.2729948	43.77515	-4.463598E-03	0.0501172	36.22537	9.581079E-03	-4.355866E-02	0.255664	0	33.83138	82.00699
0	5.1341	10.0909	24	1	24	0.8838726	0.1966224	45.57042	0.4848821	3.220011E-02	39.51339	0.0483145	0.1037451	0.4424364	0	35.92849	87.27588
0	5.1351	10.0909	25	1	25	0.7647783	0.2809251	48.37936	1.006164	1.812739E-02	40.54078	9.895108E-03	-4.196822E-02	0.1861547	0	37.19699	91.14422
0	5.1361	10.0909	26	1	26	0.5042121	7.419566E-02	51.80275	1.719775	3.576509E-02	42.39036	2.505974E-02	-0.1022827	0.3035901	0	39.01265	96.75342
0	5.1371	10.0909	27	1	27	0.318523	0.0259903	54.55217	2.354137	1.960956E-02	44.34864	-0.01389	-1.375827E-02	0.3733311	0	40.7826	101.9648
0	5.1381	10.0909	28	1	28	0.2795862	1.080322E-02	55.39881	2.376518	3.691112E-02	43.29149	3.929538E-02	0.1916526	0.4645612	0	40.47708	102.0896
0	5.1391	10.0909	29	1	29	0.2944766	2.764738E-02	55.07506	2.802159	4.065672E-02	42.65261	1.657185E-02	0.1045951	0.2780499	0	39.98553	101.2918
0	5.1401	10.0909	30	1	30	0.3913358	1.424955E-02	54.72991	2.940272	4.564593E-02	41.65384	5.43832E-04	0.3105054	0.3698119	0	39.40458	100.4561
0	5.1411	10.0909	31	1	31	0.4633364	1.889836E-02	54.98757	2.629711	5.272612E-02	42.01103	4.933931E-04	0.3102124	0.3931332	0	39.72293	100.8671
0	5.1421	10.0909	32	1	32	0.5209978	1.228033E-02	54.83424	2.812473	5.085847E-02	41.83418	3.882921E-02	0.1303901	0.7222164	0	39.65221	100.9565
0	5.1431	10.0909	33	1	33	0.3885111	1.214608E-02	55.01249	2.671657	3.301269E-02	41.29649	7.804998E-03	0.2491716	0.5804523	0	39.30759	100.2517
0	5.1441	10.0909	34	1	34	0.2381695	-1.947331E-02	55.04439	2.754723	0.03342	41.99269	9.073693E-04	4.424769E-02	0.3718196	0	39.55161	100.4609
0	5.1451	10.0909	35	1	35	0.1001229	-0.0113393	55.9476	2.749087	2.453302E-02	42.20676	-1.451855E-02	0.1637795	0.1831743	0	39.84042	101.3492
0	5.1461	10.0909	36	1	36	0.1617669	-9.025581E-03	55.7417	2.795058	3.379297E-02	43.10278	1.705245E-02	-7.187263E-02	0.1151972	0	40.29468	101.8864
0	5.1471	10.0909	37	1	37	0.1538432	-1.347583E-02	55.36882	3.814903	4.793563E-02	42.25383	4.781281E-02	1.776432E-02	9.163479E-02	0	39.73206	101.7831
0	5.1481	10.0909	38	1	38	0.1175811	-0.0140452	54.88884	3.751212	5.103517E-02	40.18881	4.698816E-02	-1.442441E-02	0.3018841	0	38.43727	99.31789
0	5.1491	10.0909	39	1	39	0.137189	-1.782576E-02	54.6271	3.273873	5.973317E-02	40.2124	3.132442E-02	0.2224475	0.229472	0	38.39974	98.77572
0	5.1501	10.0909	40	1	40	0.2309663	-7.941237E-03	54.72273	2.750192	4.051341E-02	40.94897	-6.703437E-03	1.532698E-02	0.231093	0	38.84294	98.92514
0	5.1511	10.0909	41	1	41	0.2968751	3.459943E-02	53.41376	2.203853	5.435947E-02	41.26634	1.558555E-02	0.2785596	0.6035942	0	38.80695	98.16751
0	5.1521	10.0909	42	1	42	0.2909002	2.364085E-02	52.41868	1.769741	5.309619E-02	42.20422	-0.0067375	0.1923904	0.370874	0	38.98398	97.3168
0	5.1531	10.0909	43	1	43	0.3435887	3.928116E-02	52.00315	1.215527	5.300359E-02	42.03338	7.652484E-04	0.3104516	0.3461713	0	38.82169	96.34532
0	5.1541	10.0909	44	1	44	0.3561382	5.272837E-02	51.91193	1.397169	6.405257E-02	42.71475	4.013383E-02	0.1342808	0.2779368	0	39.17937	96.94912
0	5.1551	10.0909	45	1	45	0.2775131	2.611959E-02	53.84854	1.936824	4.650309E-02	44.2457	1.744582E-02	-1.210685E-02	0.1388703	0	40.48679	100.5254
0	5.1561	10.0909	46	1	46	0.1705882	1.267851E-02	54.8092	2.57193	6.000356E-02	42.53716	-0.0145918	0.1627123	0.370978	0	39.77616	100.6806
0	5.1571	10.0909	47	1	47	0.1668853	4.530855E-03	55.66748	2.632236	4.927502E-02	42.68641	1.611368E-02	0.2518243	0.2998796	0	40.12109	101.7746
0	5.1581	10.0909	48	1	48	0.1146327	1.958359E-02	54.82022	2.719243	3.890951E-02	42.68847	-3.732978E-02	7.510328E-02	0.2547369	0	39.79399	100.6936
0	5.1591	10.0909	49	1	49	9.798909E-02	-1.131023E-02	55.62106	2.68239	5.637698E-02	41.54348	3.164018E-02	0.1640813	0.1125725	0	39.38971	100.2983
0	5.1601	10.0909	50	1	50	9.944581E-02	-1.285692E-02	55.52718	2.606546	3.696332E-02	41.5951	1.636058E-02	0.1346793	8.934809E-02	0	39.37529	100.0928
0	5.1611	10.0909	51	1	51	0.1545042	0.0131786	55.36625	2.696061	3.538268E-02	42.8106	8.974236E-03	0.0755288	0.1843234	0	40.05482	101.3448
0	5.1621	10.0909	52	1	52	0.1054451	1.419403E-02	54.85458	2.668332	3.327466E-02	42.0365	2.372057E-02	0.1619369	0.4410048	0	39.50595	100.339
0	5.1631	10.0909	53	1	53	0.1226518	1.958048E-02	55.53487	2.622815	5.310226E-02	43.03275	-3.728886E-02	0.1052429	0.160599	0	40.18688	101.6143
0	5.1641	10.0909	54	1	54	0.1607994	-6.609449E-03	55.65934	2.643487	4.042242E-02	41.92667	-6.903497E-03	0.2230359	0.159167	0	39.6443	100.7994
0	5.1651	10.0909	55	1	55	0.1019155	6.352033E-03	55.74385	2.784272	4.040717E-02	42.06725	8.452556E-03	0.1035069	0.3242165	0	39.73716	101.1802
